,Hotels,Prices,Descriptions,Full_Descriptions
502,Serras Barcelona,"€ 3,485",1 extra-large double bed,"Enjoying from an ideal location right opposite the sea in Barcelona's Gothic Quarter, Serras Barcelona is a 5-star hotel with a rooftop infinity pool and with our Restaurant Informal by our Michelin Starred chef Marc Gascons . Free WiFi access is available.

Set in a historic building where the famous painter Pablo Picasso started his career in 1896, the hotel preserves the building's original façade. Luxurious services like airport pick-up, limousine, concierge and valet parking are standard in this hotel.

All stylish rooms at Serras are air conditioned and soundproofed, featuring a private balcony with views of Barcelona's Port Vell or Mercè Street in the Gothic Quarter. Each comes with state-of-the-art facilities such as a Smart HD TV, wireless sound system and bathrooms with bathrobes and slippers.

Featuring attractive sea views, guests can have a signature cocktail on the stylish lounge in the rooftop terrace, while listening to chill-out music. The mezzanine level in Serras Barcelona features a cosy library with bar, while the restaurant serves Catalan specialities and Mediterranean tapas. The restaurant opens for breakfast, lunch and dinner.

This boutique hotel is 10 minutes' walk from Picasso Museum and Estaciò de França Railway Station. Plaça Reial Square is 650 metres away, and Santa María del Mar Cathedral is 500 metres away. Barcelona El Prat Airport is 15 minutes by car."
503,Hostemplo Sagrada Familia,"€ 2,116",Beds: 1 double or 2 singles,"This design guest house has an excellent location just 200 metres from Gaudí’s world-famous Sagrada Familia. There is free Wi-Fi throughout.

Rooms and apartments at Hostemplo Sagrada Familia are bright and have modern design. They have a flat-screen TV with DVD player and air conditioning. All rooms have a private bathroom.

Hostemplo Sagrada Familia rooms occupy all three floors of a historic modernist building, that preserves its original front. The interior is fully renovated. The suites are located in a new outbuilding.

A buffet breakfast with homemade pastries, local produce and freshly squeezed natural orange juice is served daily at Hotel Hostemplo, located 150 metres from the property.

The Tourist Bus passes the guest house and stops only 100 metres away. Tickets are conveniently available at reception. There is a metro station just 150 metres from the property.

There is 24-hour access to the building, as well as 24-hour reception."
504,Barcelona City Hotel,"€ 2,589","3 beds (2 singles, 1 double)","This practical hotel is located 1 streets from Passeig de Gràcia, metres from Gaudí’s Casa Batlló. It offers simple rooms with free Wi-Fi.

The Barcelona City Hotel is situated within easy walking distance of the city’s famous Modernist buildings. These include La Pedrera and the Casa Amatller.

The surrounding streets are full of elegant boutiques and great restaurants. The shopping and touristic centre of La Rambla is a short stroll away.

There are many metro stations and buses near the Barcelona City. The tourist bus also stops on Passeig de Gràcia.

All rooms at the hotel are air conditioned and heated."
505,Ola Living Portaferrissa,"€ 2,549","2 beds (1 double, 1 sofa bed)","Centrally located, Ola Living Portaferrissa offers air-conditioned apartments and studios with free Wi-Fi and free safe. Accommodations are 100 metres from Ramblas and Plaza Catalunya is 5 minutes’ walk away.

Featuring modern and functional furniture each accommodation comes with a flat-screen cable TV and a fully equipped kitchenette including a coffee machine, microwave and oven. A washing machine, clothes dryer and iron facilities are also provided.

Ola Living Portaferrissa is surrounded by a wide range of bars, restaurant and traditional Spanish Granjas for a snack or a light meal. You can find fresh produce in La Boquería Market, 200 metres away.

You can walk to the Cathedral in 5 minutes from Ola Living Portaferrissa. Lively Plaza Reial is 400 metres away and Barcelona Museum of Contemporary Art is 7 minutes’ walk from accommodations. The closest metro station is Liceu, just 300 metres away."
506,Hotel Alguer Camp Nou,€ 846,1 double bed,"Hotel L’Alguer Nou is situated just 500 metres from FC Barcelona’s Camp Nou Stadium and 220 metres from Collblanc Metro Station. This family-run hotel offers a bar, lounge and 24-hour reception.

Rooms at the L’Alguer Nou Hotel are simple and functional, with tiled floors. Each room comes with a TV and a private bathroom. The rooms have air conditioning in summer and central heating in winter.

Hotel L’Alguer Nou serves a daily breakfast consisting of a buffet of cold and hot dishes.

Collblanc Metro Station takes you to Barcelona Aiport in 30 minutes. L'Alguer Nou is a 20-minute walk from the campus of Barcelona University. Sants Train Station is a 10-minute bus ride away, and regular bus services stop within 200 metres of the hotel."
507,Eco Boutique Hostal Grau,"€ 2,024",Multiple bed types,"This family-run, eco-friendly hotel is within 200 metres of Las Ramblas and Plaza Catalunya. All rooms are made of natural, organic materials and painted with PVC-free paint.

All rooms at Hostal Grau have a private bathroom with free toiletries made from natural sources such as lavender. Some rooms have a balcony; while others face a vertical garden.

The hotel also has one OFF room with a reduction of electromagnetic radiation; and the whole building boasts environmentally friendly design, energy efficient lighting and a water recycling system, as well as using renewable or clean energy.

As well as free natural teas and infusions, are available from the on-site lounge.

The MACBA Modern Art Museum is just 350 metres from the guest house, and Port Vell Harbour is a 15-minute walk away. Direct buses to Barcelona Airport stop in nearby Plaza Universitat."
508,Barcelona4Seasons - Sagrada Familia,"€ 3,191","3 beds (2 doubles, 1 sofa bed)","This great selection of comfortable and cosy apartments has various locations in the area around Barcelona's Sagrada Família, each with convenient access to the excellent public transport network.

Each of the Barcelona4Seasons’ apartments is tastefully decorated and well-equipped with stylish furnishings. They provide the ideal setting for those who prefer the privacy and independence of apartment accommodation.

The apartments are located in different points of Barcelona – all a maximum of 10-15 minutes from the city centre. Each one enjoys easy access to public transport, allowing you to explore this cosmopolitan city.

Check availability for the exact location of each apartment."
509,Nuevo Balmes Habitaciones,€ 790,Managed by a private host,"Nuevo Balmes Habitaciones is set in the Eixample district of Barcelona, 1.1 km from Plaça Catalunya, less than 1 km from Passeig de Gracia Metro Station and a 7-minute walk from La Pedrera. It is situated less than 1 km from Passeig de Gracia and features a shared kitchen. The property is 500 metres from Casa Batllo, and within less than 1 km of the city centre.

All units in the bed and breakfast are equipped with a kettle. With a shared bathroom fitted with a bidet and a hair dryer, units at the bed and breakfast also boast free WiFi. At the bed and breakfast, each unit has bed linen and towels.

Popular points of interest near the bed and breakfast include Boqueria Market, Tivoli Theatre and Palau de la Musica Catalana. The nearest airport is Barcelona El Prat Airport, 13 km from Nuevo Balmes Habitaciones."
510,ClassBedroom Gaudí Apartments,"€ 2,000","4 beds (3 singles, 1 bunk bed)","ClassBedroom Gaudí Apartments offers stylish and modern self-catering apartments in Barcelona. Apartments are spread around the San Marti district.

With air conditioning, each apartment is equipped with a flat-screen TV and a kitchen with microwave and coffee machine. The private bathroom comes with a shower and hairdryer.

La Sagrera, Bac de Roda and San Marti Metro Stations are all within a 15-minute walk from Apartments VI ClassBedroom. San Marti Park is 1.5 km away."
511,Barcelona Princess,"€ 2,584",Beds: 1 double or 2 singles,"Barcelona Princess Hotel is a 10-minute walk from the beach in the city’s Forum area. It offers wonderful views and a free gym. Free WiFi is available throughout.

All guests have free access to the 2 heated outdoor pools. The one on the 23rd floor offers spectacular sea views.

Rooms at Princess Barcelona are elegant and bright. Each has contemporary décor. All rooms have satellite TV.

The hotel has a Mediterranean restaurant and 2 stylish bars, including a relaxed poolside bar with panoramic views.

Princess Hotel Barcelona is set on Avenida Diagonal, next to Diagonal Mar Shopping Centre. The tour bus stops in front of the hotel and Maresme Forum Metro Station is 100 metres away. Plaza de Catalunya and Las Ramblas can be reached in 15 minutes, by Metro."
512,One bedroom Apartment in Eixample !,"€ 1,142",Managed by a private host,"Featuring air-conditioned accommodation with a terrace, One bedroom Apartment in Eixample! is set in Barcelona. It is located less than 1 km from Sants Railway Station and provides a lift. Casa Batllo is 2.9 km away and Camp Nou is 3.1 km from the apartment.

With free WiFi, this 1-bedroom apartment offers a flat-screen TV, a washing machine and a fully equipped kitchen with a fridge. Towels and bed linen are featured in the apartment.

Magic Fountain of Montjuic is 2 km from the apartment, while La Pedrera is 2.8 km away. The nearest airport is Barcelona El Prat Airport, 12 km from One bedroom Apartment in Eixample!."
513,Exe Cristal Palace,"€ 1,674",Beds: 1 double or 2 singles,"The Exe Cristal Palace is very well located next to the prestigious Passeig de Gràcia, the main shopping area and most important places of interest in Barcelona. All rooms at the Exe Cristal Palace have air conditioning, a safe, satellite TV, a minibar, a desk and a private bathroom with a hairdryer and toiletries.

Exe Cristal Palace rooms have a safe and a minibar and feature wooden floors. There is a work desk, and the private bathroom comes with a hairdryer and amenities.

Exe Cristal Palace has a 24-hour front desk. You can hire a car from the tour desk, and on-site parking is available for an additional charge. The hotel serves a varied buffet breakfast, including a healthy corner option.

The buffet breakfast includes a wide variety of dishes and an area with juices and coffees.

The hotel is a 5-minute walk from Plaza Catalunya and Casa Batlló."
